日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-06-27,1.026,1.034,1.013,1.03,4001602,410710848.0,2.05,0.59,0.006,3222.11
2022-06-28,1.031,1.041,1.019,1.039,652458,67056472.0,2.14,0.87,0.009,525.36
2022-06-29,1.038,1.047,1.02,1.022,379418,39352357.0,2.6,-1.64,-0.017,305.51
2022-06-30,1.021,1.048,1.021,1.041,184777,19250535.0,2.64,1.86,0.019,148.78
2022-07-01,1.041,1.047,1.03,1.035,210506,21868356.0,1.63,-0.58,-0.006,169.5
2022-07-04,1.032,1.062,1.031,1.062,222974,23454728.0,3.0,2.61,0.027,179.54
2022-07-05,1.06,1.063,1.04,1.053,106991,11240357.0,2.17,-0.85,-0.009,86.15
2022-07-06,1.05,1.052,1.023,1.03,108530,11228127.0,2.75,-2.18,-0.023,87.39
2022-07-07,1.033,1.037,1.02,1.03,100813,10406054.0,1.65,0.0,0.0,81.18
2022-07-08,1.032,1.039,1.022,1.023,118891,12244412.0,1.65,-0.68,-0.007,95.73
2022-07-11,1.02,1.02,0.996,1.002,97725,9789884.0,2.35,-2.05,-0.021,78.69
2022-07-12,1.006,1.012,0.992,0.994,44258,4424304.0,2.0,-0.8,-0.008,35.64
2022-07-13,0.99,1.002,0.988,0.999,129035,12882709.0,1.41,0.5,0.005,103.9
2022-07-14,0.999,1.015,0.997,1.006,94001,9479343.0,1.8,0.7,0.007,75.69
2022-07-15,1.003,1.013,0.988,0.989,99933,10022957.0,2.49,-1.69,-0.017,80.47
2022-07-18,0.995,1.002,0.982,1.001,98178,9804705.0,2.02,1.21,0.012,79.05
2022-07-19,0.998,0.999,0.988,0.996,52716,5239384.0,1.1,-0.5,-0.005,42.45
2022-07-20,0.996,1.006,0.995,0.999,75839,7585615.0,1.1,0.3,0.003,61.07
2022-07-21,1.004,1.004,0.992,0.992,88307,8792203.0,1.2,-0.7,-0.007,71.11
2022-07-22,0.996,0.998,0.982,0.989,75482,7453365.0,1.61,-0.3,-0.003,60.78
2022-07-25,0.989,0.989,0.976,0.98,72355,7087854.0,1.31,-0.91,-0.009,58.26
2022-07-26,0.986,0.989,0.977,0.984,74611,7340545.0,1.22,0.41,0.004,60.08
2022-07-27,0.981,0.988,0.979,0.984,52997,5214672.0,0.91,0.0,0.0,42.67
