日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-04-29,1.008,1.008,0.99,0.994,1132012,112856799.0,1.78,-1.68,-0.017,394.5
2024-04-30,0.993,1.007,0.991,1.0,629580,63005412.0,1.61,0.6,0.006,219.4
2024-05-06,0.998,1.005,0.981,1.005,173153,17179620.0,2.4,0.5,0.005,60.34
2024-05-07,1.005,1.005,0.997,1.0,55128,5516816.0,0.8,-0.5,-0.005,19.21
2024-05-08,0.999,1.006,0.996,0.996,41771,4193473.0,1.0,-0.4,-0.004,14.56
2024-05-09,0.996,1.011,0.996,1.01,168353,16971280.0,1.51,1.41,0.014,58.67
2024-05-10,1.01,1.017,1.008,1.009,121748,12335532.0,0.89,-0.1,-0.001,42.43
2024-05-13,1.004,1.015,1.0,1.007,76102,7694745.0,1.49,-0.2,-0.002,26.52
2024-05-14,1.007,1.013,1.006,1.008,26261,2646315.0,0.7,0.1,0.001,9.15
2024-05-15,1.0,1.008,0.999,1.005,37575,3765592.0,0.89,-0.3,-0.003,13.09
2024-05-16,1.005,1.005,0.994,0.994,28526,2855378.0,1.09,-1.09,-0.011,9.94
2024-05-17,0.994,0.997,0.992,0.997,21295,2119751.0,0.5,0.3,0.003,7.42
2024-05-20,1.002,1.026,1.002,1.021,95335,9682987.0,2.41,2.41,0.024,33.22
2024-05-21,1.02,1.038,1.005,1.009,67222,6780910.0,3.23,-1.18,-0.012,23.43
2024-05-22,1.0,1.01,1.0,1.004,18188,1830822.0,0.99,-0.5,-0.005,6.34
2024-05-23,0.998,1.01,0.989,0.991,16033,1594529.0,2.09,-1.29,-0.013,5.59
2024-05-24,0.99,1.0,0.99,0.993,26842,2673118.0,1.01,0.2,0.002,9.35
2024-05-27,1.003,1.014,1.001,1.011,52326,5272307.0,1.31,1.81,0.018,18.24
2024-05-28,1.011,1.025,1.011,1.018,48082,4902380.0,1.38,0.69,0.007,16.76
2024-05-29,1.012,1.026,1.012,1.025,57844,5902194.0,1.38,0.69,0.007,20.16
2024-05-30,1.001,1.029,1.001,1.003,27605,2793116.0,2.73,-2.15,-0.022,9.62
2024-05-31,1.001,1.1,0.953,0.999,14938,1502884.0,14.66,-0.4,-0.004,5.21
2024-06-03,0.996,1.002,0.982,0.988,47247,4716083.0,2.0,-1.1,-0.011,16.47
2024-06-04,0.98,0.992,0.975,0.99,68253,6723587.0,1.72,0.2,0.002,23.79
2024-06-05,0.942,0.993,0.942,0.971,35852,3499975.0,5.15,-1.92,-0.019,12.49
2024-06-06,0.976,0.982,0.973,0.974,33970,3317360.0,0.93,0.31,0.003,11.84
2024-06-07,0.982,0.987,0.98,0.987,33059,3243889.0,0.72,1.33,0.013,11.52
2024-06-11,1.0,1.0,0.96,0.97,35098,3400472.0,4.05,-1.72,-0.017,12.23
2024-06-12,0.967,0.982,0.967,0.981,29386,2858633.0,1.55,1.13,0.011,10.24
2024-06-13,0.984,0.984,0.969,0.972,31107,3029498.0,1.53,-0.92,-0.009,10.84
2024-06-14,0.971,0.971,0.964,0.964,30208,2920706.0,0.72,-0.82,-0.008,10.53
2024-06-17,0.963,0.963,0.953,0.953,27981,2673911.0,1.04,-1.14,-0.011,9.75
2024-06-18,0.953,0.962,0.952,0.96,17044,1633507.0,1.05,0.73,0.007,5.94
2024-06-19,0.964,0.971,0.964,0.968,36253,3504320.0,0.73,0.83,0.008,12.63
2024-06-20,0.968,0.974,0.968,0.97,19130,1856510.0,0.62,0.21,0.002,6.67
