日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-02,1.438,1.441,1.421,1.432,7315600.0,10475939.2,1.3908205841446466,,,
2025-04-03,1.415,1.456,1.414,1.435,10657144.0,15293001.64,2.9681978798586597,0.20949720670391248,0.0030000000000001137,
2025-04-07,1.383,1.42,1.292,1.331,19115200.0,25442331.2,9.255242227042652,-7.247386759581886,-0.10400000000000009,
2025-04-08,1.316,1.386,1.316,1.342,12996000.0,17440632.0,5.3191489361702,0.826446280991755,0.01100000000000012,
2025-04-09,1.337,1.433,1.301,1.415,14588844.0,20643214.26,9.872849663425589,5.4396423248882275,0.07299999999999995,
2025-04-10,1.447,1.448,1.417,1.42,10961200.0,15564904.0,2.1423635107118115,0.35335689045936647,0.004999999999999893,
2025-04-11,1.424,1.498,1.411,1.465,15017400.0,22000491.0,6.10955056179775,3.169014084507049,0.04500000000000015,
2025-04-14,1.485,1.489,1.448,1.462,8970900.0,13115455.799999999,2.760942760942771,-0.20477815699659896,-0.0030000000000001137,
2025-04-15,1.462,1.462,1.429,1.44,8125500.0,11700720.0,2.257181942544454,-1.5047879616963078,-0.02200000000000002,
2025-04-16,1.443,1.46,1.434,1.458,7667000.0,11178486.0,1.8018018018018032,1.2499999999999956,0.018000000000000016,
2025-04-17,1.448,1.471,1.447,1.453,9015500.0,13099521.5,1.6574585635359134,-0.3429355281207025,-0.004999999999999893,
2025-04-18,1.45,1.45,1.427,1.435,7954500.0,11414707.5,1.586206896551718,-1.2388162422574012,-0.018000000000000016,
2025-04-21,1.435,1.448,1.433,1.445,7559000.0,10922755.0,1.04529616724738,0.6968641114982521,0.010000000000000009,
2025-04-22,1.445,1.467,1.438,1.452,9906400.0,14384092.799999999,2.006920415224923,0.48442906574392985,0.006999999999999895,
2025-04-23,1.453,1.456,1.434,1.445,8574300.0,12389863.5,1.5141087405368217,-0.4820936639118423,-0.006999999999999895,
2025-04-24,1.445,1.445,1.427,1.432,6593200.0,9441462.4,1.2456747404844302,-0.8996539792387681,-0.013000000000000123,
2025-04-25,1.431,1.438,1.411,1.433,9082900.0,13015795.700000001,1.8867924528301823,0.06983240223463749,0.001000000000000112,
2025-04-28,1.433,1.443,1.428,1.433,6382100.0,9145549.3,1.0467550593161286,0.0,0.0,
2025-04-29,1.43,1.442,1.423,1.439,5247300.0,7550864.7,1.328671328671322,0.41870202372644716,0.006000000000000005,
2025-04-30,1.439,1.45,1.436,1.447,5832300.0,8439338.1,0.9728978457261996,0.5559416261292638,0.008000000000000007,
2025-05-06,1.457,1.476,1.451,1.473,7937800.0,11692379.4,1.7158544955387722,1.7968210089841063,0.026000000000000023,
2025-05-07,1.496,1.497,1.459,1.474,14089100.0,20767333.4,2.54010695187166,0.06788866259332949,0.0009999999999998899,
2025-05-08,1.467,1.469,1.455,1.468,5237900.0,7689237.2,0.9543285616905256,-0.4070556309362261,-0.006000000000000005,
2025-05-09,1.461,1.461,1.425,1.434,17867900.0,25622568.599999998,2.4640657084188935,-2.3160762942779356,-0.03400000000000003,
2025-05-12,1.431,1.435,1.422,1.429,18146102.0,25930779.758,0.9084556254367662,-0.34867503486749607,-0.004999999999999893,
2025-05-13,1.437,1.44,1.419,1.42,15276100.0,21692062.0,1.4613778705636677,-0.6298110566830051,-0.009000000000000119,
2025-05-14,1.42,1.438,1.419,1.43,17126800.0,24491324.0,1.3380281690140778,0.7042253521126751,0.010000000000000009,
2025-05-15,1.43,1.43,1.4,1.401,15542600.0,21775182.6,2.0979020979020997,-2.027972027972025,-0.028999999999999915,
2025-05-16,1.4,1.407,1.392,1.394,6830500.0,9521717.0,1.0714285714285805,-0.49964311206281975,-0.007000000000000117,
2025-05-19,1.39,1.406,1.386,1.402,10344500.0,14502989.0,1.4388489208633108,0.5738880918221057,0.008000000000000007,
2025-05-20,1.402,1.409,1.397,1.404,7960300.0,11176261.2,0.8559201141226828,0.14265335235377208,0.0020000000000000018,
2025-05-21,1.404,1.407,1.393,1.396,8695100.0,12138359.6,0.9971509971509982,-0.5698005698005715,-0.008000000000000007,
2025-05-22,1.396,1.406,1.385,1.387,8670300.0,12025706.1,1.5042979942693344,-0.6446991404011393,-0.008999999999999897,
2025-05-23,1.394,1.394,1.376,1.38,7275400.0,10040052.0,1.2912482065997144,-0.5046863734679219,-0.007000000000000117,
2025-05-26,1.389,1.395,1.383,1.39,10560544.0,14679156.159999998,0.8639308855291584,0.7246376811594235,0.010000000000000009,
2025-05-27,1.392,1.392,1.377,1.379,8660500.0,11942829.5,1.077586206896545,-0.7913669064748108,-0.010999999999999899,
2025-05-28,1.384,1.384,1.358,1.361,8623100.0,11736039.1,1.8786127167629916,-1.305293691080489,-0.018000000000000016,
2025-05-29,1.364,1.384,1.359,1.384,8989900.0,12442021.6,1.8328445747800521,1.6899338721528157,0.02299999999999991,
2025-05-30,1.381,1.381,1.366,1.368,5327100.0,7287472.800000001,1.0861694424330124,-1.156069364161838,-0.015999999999999792,
2025-06-03,1.357,1.39,1.357,1.38,6711000.0,9261180.0,2.4318349299926245,0.8771929824561209,0.011999999999999789,
2025-06-04,1.38,1.386,1.375,1.382,6211400.0,8584154.799999999,0.797101449275355,0.14492753623187582,0.0020000000000000018,
2025-06-05,1.385,1.4,1.379,1.398,10942900.0,15298174.2,1.5162454873646143,1.1577424023154759,0.016000000000000014,
2025-06-06,1.4,1.404,1.393,1.4,7620800.0,10669120.0,0.7857142857142785,0.14306151645206988,0.0020000000000000018,
2025-06-09,1.4,1.401,1.393,1.4,9318344.0,13045681.6,0.571428571428572,0.0,0.0,
2025-06-10,1.399,1.403,1.365,1.369,11852000.0,16225388.0,2.716225875625449,-2.214285714285713,-0.030999999999999917,
2025-06-11,1.369,1.382,1.367,1.369,5194000.0,7110586.0,1.095690284879467,0.0,0.0,
2025-06-12,1.37,1.37,1.346,1.347,9667844.0,13022585.867999999,1.7518248175182498,-1.6070124178232281,-0.02200000000000002,
2025-06-13,1.339,1.36,1.339,1.357,6150844.0,8346695.308,1.5683345780433258,0.7423904974016349,0.010000000000000009,
2025-06-16,1.353,1.365,1.35,1.361,4153000.0,5652233.0,1.1086474501108576,0.29476787030213725,0.0040000000000000036,
2025-06-17,1.363,1.363,1.345,1.349,5856500.0,7900418.5,1.3206162876008816,-0.881704628949298,-0.01200000000000001,
2025-06-18,1.349,1.366,1.344,1.362,7926100.0,10795348.200000001,1.6308376575240935,0.9636767976278771,0.013000000000000123,
2025-06-19,1.363,1.381,1.357,1.365,8320800.0,11357892.0,1.7608217168011757,0.22026431718060735,0.0029999999999998916,
2025-06-20,1.366,1.378,1.366,1.366,5404200.0,7382137.2,0.8784773060029126,0.073260073260073,0.001000000000000112,
2025-06-23,1.364,1.405,1.363,1.396,17347900.0,24217668.4,3.079178885630501,2.196193265007307,0.029999999999999805,
2025-06-24,1.399,1.412,1.395,1.411,13116100.0,18506817.1,1.2151536812008508,1.074498567335258,0.015000000000000124,
2025-06-25,1.411,1.429,1.403,1.429,18414000.0,26313606.0,1.8426647767540767,1.275690999291279,0.018000000000000016,
2025-06-26,1.43,1.445,1.42,1.42,11927400.0,16936908.0,1.7482517482517577,-0.6298110566830051,-0.009000000000000119,
2025-06-27,1.424,1.43,1.412,1.413,12821800.0,18117203.400000002,1.264044943820226,-0.4929577464788615,-0.006999999999999895,
2025-06-30,1.416,1.448,1.416,1.44,11515600.0,16582464.0,2.25988700564972,1.9108280254777066,0.026999999999999913,
2025-07-01,1.441,1.444,1.427,1.436,14269501.0,20491003.436,1.1797362942401044,-0.2777777777777768,-0.0040000000000000036,
2025-07-02,1.43,1.433,1.406,1.41,8052000.0,11353320.0,1.8881118881118975,-1.8105849582172762,-0.026000000000000023,
2025-07-03,1.408,1.424,1.402,1.408,5327500.0,7501120.0,1.5625000000000013,-0.14184397163120588,-0.0020000000000000018,
2025-07-04,1.408,1.447,1.398,1.422,15023000.0,21362706.0,3.480113636363648,0.9943181818181879,0.014000000000000012,
2025-07-07,1.419,1.434,1.418,1.42,6567200.0,9325424.0,1.1275546159267098,-0.14064697609000865,-0.0020000000000000018,
2025-07-08,1.422,1.435,1.421,1.431,9767500.0,13977292.5,0.9845288326300994,0.7746478873239537,0.01100000000000012,
2025-07-09,1.432,1.438,1.416,1.418,6972700.0,9887288.6,1.5363128491620126,-0.908455625436766,-0.013000000000000123,
2025-07-10,1.408,1.42,1.405,1.415,5942400.0,8408496.0,1.0653409090909023,-0.21156558533144132,-0.0029999999999998916,
2025-07-11,1.41,1.435,1.405,1.432,13514414.0,19352640.847999997,2.1276595744680873,1.201413427561837,0.016999999999999904,
2025-07-14,1.433,1.433,1.417,1.42,7916300.0,11241146.0,1.1165387299371956,-0.8379888268156388,-0.01200000000000001,
2025-07-15,1.413,1.425,1.407,1.415,16947800.0,23981137.0,1.2738853503184724,-0.35211267605632646,-0.004999999999999893,
2025-07-16,1.419,1.431,1.409,1.416,15206200.0,21531979.2,1.5503875968992262,0.07067137809186885,0.0009999999999998899,
2025-07-17,1.414,1.417,1.396,1.417,19084800.0,27043161.6,1.4851485148514945,0.07062146892655718,0.001000000000000112,
2025-07-18,1.42,1.439,1.419,1.43,15925700.0,22773751.0,1.4084507042253533,0.917431192660545,0.0129999999999999,
2025-07-21,1.433,1.433,1.422,1.426,14154500.0,20184317.0,0.7676203768318297,-0.2797202797202747,-0.0040000000000000036,
2025-07-22,1.427,1.445,1.421,1.438,14799800.0,21282112.4,1.681850035038544,0.8415147265077083,0.01200000000000001,
2025-07-23,1.437,1.478,1.434,1.47,26071306.0,38324819.82,3.061934585942939,2.2253129346314404,0.03200000000000003,
2025-07-24,1.47,1.493,1.462,1.49,19407800.0,28917622.0,2.1088435374149754,1.3605442176870763,0.020000000000000018,
2025-07-25,1.491,1.528,1.481,1.521,23703100.0,36052415.1,3.152246814218641,2.0805369127516737,0.030999999999999917,
2025-07-28,1.52,1.521,1.505,1.515,14085300.0,21339229.5,1.0526315789473693,-0.39447731755424265,-0.006000000000000005,
2025-07-29,1.51,1.54,1.502,1.536,16061505.0,24670471.68,2.5165562913907307,1.3861386138613874,0.02100000000000013,
