日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-11-24,0.997,1.002,0.995,0.995,1060982,106005668.0,0.7,-0.5,-0.005,107.11
2021-11-25,0.995,0.999,0.991,0.991,180489,17959949.0,0.8,-0.4,-0.004,18.22
2021-11-26,0.991,0.991,0.975,0.978,270754,26507853.0,1.61,-1.31,-0.013,27.33
2021-11-29,0.974,0.981,0.95,0.98,268114,26188928.0,3.17,0.2,0.002,27.07
2021-11-30,0.986,0.994,0.983,0.989,212437,21051176.0,1.12,0.92,0.009,21.45
2021-12-01,0.989,1.0,0.989,0.993,197114,19600735.0,1.11,0.4,0.004,19.9
2021-12-02,0.992,0.993,0.984,0.991,137060,13530360.0,0.91,-0.2,-0.002,13.84
2021-12-03,0.99,0.998,0.989,0.995,189673,18865378.0,0.91,0.4,0.004,19.15
2021-12-06,0.995,0.999,0.985,0.986,178291,17725747.0,1.41,-0.9,-0.009,18.0
2021-12-07,0.997,0.998,0.977,0.98,124986,12284226.0,2.13,-0.61,-0.006,12.62
2021-12-08,0.987,1.008,0.987,1.008,350781,35109034.0,2.14,2.86,0.028,35.41
2021-12-09,1.006,1.025,1.006,1.017,471817,47993854.0,1.88,0.89,0.009,47.63
2021-12-10,1.014,1.017,1.001,1.014,225542,22871748.0,1.57,-0.29,-0.003,22.77
2021-12-13,1.014,1.034,1.014,1.027,302270,31087215.0,1.97,1.28,0.013,30.52
2021-12-14,1.024,1.03,1.023,1.026,171188,17579390.0,0.68,-0.1,-0.001,17.28
2021-12-15,1.026,1.026,1.012,1.014,154691,15759714.0,1.36,-1.17,-0.012,15.62
2021-12-16,1.017,1.017,1.008,1.014,135298,13681779.0,0.89,0.0,0.0,13.66
2021-12-17,1.014,1.014,0.997,0.997,157804,15808929.0,1.68,-1.68,-0.017,15.93
2021-12-20,0.997,0.999,0.969,0.97,192660,18959015.0,3.01,-2.71,-0.027,19.45
2021-12-21,0.98,0.989,0.978,0.989,106083,10430018.0,1.13,1.96,0.019,10.71
2021-12-22,0.983,1.004,0.983,0.998,142015,14197587.0,2.12,0.91,0.009,14.34
2021-12-23,0.98,1.003,0.98,1.001,113504,11351202.0,2.3,0.3,0.003,11.46
2021-12-24,1.0,1.007,0.994,0.998,95188,9521480.0,1.3,-0.3,-0.003,9.61
2021-12-27,0.999,1.005,0.993,0.995,84967,8492004.0,1.2,-0.3,-0.003,8.58
2021-12-28,0.999,1.005,0.995,1.002,139839,13969599.0,1.01,0.7,0.007,14.12
2021-12-29,1.002,1.002,0.988,0.99,100647,9983307.0,1.4,-1.2,-0.012,10.16
2021-12-30,0.99,1.016,0.988,1.01,201967,20330540.0,2.83,2.02,0.02,20.39
2021-12-31,1.012,1.012,1.0,1.011,123277,12413821.0,1.19,0.1,0.001,12.45
2022-01-04,1.011,1.023,1.003,1.017,170445,17257756.0,1.98,0.59,0.006,17.21
2022-01-05,1.014,1.014,0.98,0.987,162737,16109286.0,3.34,-2.95,-0.03,16.43
