时间,ETF代码,ETF名称,操作,仓位比例,总评分,策略依据
2025-08-22 11:47,sh.588920,科创芯片ETF指数,买入,套利仓,90,溢价率 2.04%，存在套利机会
2025-08-22 12:53,sh.588920,科创芯片ETF指数,买入,套利仓,90,溢价率 2.04%，存在套利机会
